Category,id,Item.Title,Item.Price,Item.Total.Price,Item.Service.Fee,Item.Currency,Item.Brand,Item.Size,Item.Status,Item.URL,Item.Photo.URL,Item.Favorites,Seller.ID,Seller.Username,Seller.URL,Seller.Photo,Is.Business.Seller,Is.Promoted,Created.Date,Timestamp
Blazer,7741631367.0,Faux Leather Blazer,7.0,8.05,1.05,USD,Stradivarius,S / US 4-6,Good,https://www.vinted.com/items/7741631367-faux-leather-blazer,https://images1.vinted.net/t/06_00f83_a931QYPobH3a8GRPZQQW8dSr/f800/1765410914.webp?s=0b63b7ac681389ba6bd866525d8d8d18df45ddd1,7.0,3123776863.0,jennal755,https://www.vinted.com/member/3123776863-jennal755,Not Available,No,No,12/11/2025,1765410914000.0
Blazer,7722250104.0,Banana Republic shiny wool blazer,12.0,13.3,1.3,USD,Banana Republic,S / US 4-6,Good,https://www.vinted.com/items/7722250104-banana-republic-shiny-wool-blazer,https://images1.vinted.net/t/05_0236f_jCBoky2oEziPcsmtFrvcHvfm/f800/1765150847.webp?s=53939d8bc6f2174f32b20d86350215af1687ee11,3.0,259989769.0,secondsummerthrift,https://www.vinted.com/member/259989769-secondsummerthrift,https://images1.vinted.net/t/04_01af4_3TJEJiRkjUiEbhbzjggQaccQ/f800/1759116751.webp?s=397fe5213d9b057fefec6ddc0a9fe0e980c3e2f9,No,No,12/8/2025,1765150847000.0
Blazer,7734678123.0,Zara top,9.0,10.15,1.15,USD,Zara,M / US 8-10,New without tags,https://www.vinted.com/items/7734678123-zara-top,https://images1.vinted.net/t/06_01caf_QmcRdhfGz3jkpDSErrkg3LmL/f800/1765313885.webp?s=ebcd40f609ec41a0dd922d4dd0c82f6abdaf76f5,27.0,119260684.0,luciegrst02,https://www.vinted.com/member/119260684-luciegrst02,https://images1.vinted.net/t/01_01c3e_XLeNfCBSRppvBJ8BMZmPrzxX/f800/1737048549.webp?s=f4b5700fd1eb27e20ad48827c3d3a0764db214ab,No,No,12/9/2025,1765313885000.0
Blazer,7743444930.0,Laura Ashley suede leather black jacket,12.0,13.3,1.3,USD,Laura Ashley,Other,Good,https://www.vinted.com/items/7743444930-laura-ashley-suede-leather-black-jacket,https://images1.vinted.net/t/06_015a4_rf53TVZuf93aUkieLWHJKbs1/f800/1765455120.webp?s=8820eebcd77da2cd4ed3debffb9ee3210b512f52,1.0,244730742.0,runthis,https://www.vinted.com/member/244730742-runthis,https://images1.vinted.net/t/05_007f6_SAdXSvG53XPjxMXzNRTiFnGR/f800/1761391661.webp?s=646bee76a77231eed2fe18db1f4aed67dabcf44e,No,No,12/11/2025,1765455120000.0
Blazer,7735380731.0,$ 8 ZARA (animal print blazer) The size says L but it's more like a M.,8.0,9.1,1.1,USD,Zara,M / US 8-10,Very good,https://www.vinted.com/items/7735380731-8-zara-animal-print-blazer-the-size-says-l-but-its-more-like-a-m,https://images1.vinted.net/t/06_0153b_8JXgrE1HGg9E3frzs76fHWBg/f800/1765329181.webp?s=a256cc06f6c2712ad9b3f78c9b6c80285628d689,9.0,209767009.0,josyta13,https://www.vinted.com/member/209767009-josyta13,https://images1.vinted.net/t/04_00d2e_xL1ft6GTzPJCYrFg7co9ggGt/f800/1739208868.webp?s=de5130be843c8d79342fc6b9d5f90223b0489168,No,No,12/10/2025,1765329181000.0
Blazer,7735266965.0,Black Cabi coat,7.99,9.09,1.1,USD,CAbi,S / US 4-6,Very good,https://www.vinted.com/items/7735266965-black-cabi-coat,https://images1.vinted.net/t/05_00840_Siu8WH1QLi62auUMbtQ33wrh/f800/1765322609.webp?s=19bc3feea1ba3086964d92a2ac8419f3b0c66007,27.0,307606934.0,merth22,https://www.vinted.com/member/307606934-merth22,Not Available,No,No,12/10/2025,1765322609000.0
Blazer,7733792718.0,"Brand: Nine West, Size: 2",7.0,8.05,1.05,USD,Nine West,S / US 4-6,Very good,https://www.vinted.com/items/7733792718-brand-nine-west-size-2,https://images1.vinted.net/t/06_005de_yEyZ5WYFyhg1kXdABUhpFzjx/f800/1765306430.webp?s=61ecb34d06d2eb441611bb343b2a64063b49893a,8.0,313745332.0,pinkdomain,https://www.vinted.com/member/313745332-pinkdomain,https://images1.vinted.net/t/05_01af1_r4arEXJ9bjFMefpfyS4yAUv5/f800/1764026603.webp?s=eff55afcb03e37d44d34586559c190dbcb551b5c,No,No,12/9/2025,1765306430000.0
Blazer,7728510235.0,Set falda y blusa,23.5,25.38,1.88,USD,Not Available,M / US 8-10,New without tags,https://www.vinted.com/items/7728510235-set-falda-y-blusa,https://images1.vinted.net/t/05_00a7a_ae73xkwpEYMR5VZEqBpqR497/f800/1765228834.webp?s=99d40af73c0ea7dfea906a4579844b557464bde7,21.0,316212412.0,susy1024owv,https://www.vinted.com/member/316212412-susy1024owv,https://images1.vinted.net/t/02_001dc_T4d5oqpPK9DJ4SmP7y8ySSzs/f800/1765067133.webp?s=9de6b7c5d980cb2745e683ca59bb1dad59016775,No,No,12/8/2025,1765228834000.0
Blazer,7726650949.0,Ann Taylor Black Jacket Blazer,8.0,9.1,1.1,USD,Ann Taylor,L / US 12-14,New without tags,https://www.vinted.com/items/7726650949-ann-taylor-black-jacket-blazer,https://images1.vinted.net/t/01_00c0b_WGSuqpM2EieLRa5bKYXJaV3R/f800/1765214268.webp?s=2bd734c9db78ac7ecceeb223437f4399781bc941,2.0,315970225.0,bfs9092,https://www.vinted.com/member/315970225-bfs9092,https://images1.vinted.net/t/05_00837_LaXHMVSMeSwsLaaQm9o1Vd55/f800/1764962895.webp?s=ff58479fa624d536e5783bd50e1440e5db93bfb0,No,No,12/8/2025,1765214268000.0
Blazer,7722026302.0,Beautiful leather blazzer,10.0,11.2,1.2,USD,style & co.,S / US 4-6,Very good,https://www.vinted.com/items/7722026302-beautiful-leather-blazzer,https://images1.vinted.net/t/02_00495_1dEdT1atP4gcAZM2P1DDcFYy/f800/1765145644.webp?s=ed08a51c6954063c2932c2c78e06f2736760c1c7,3.0,305949286.0,romelthrift29,https://www.vinted.com/member/305949286-romelthrift29,https://images1.vinted.net/t/05_0257c_FV634LtX5AfTxe15Y97AYq6k/f800/1763096992.webp?s=96b7f15de383b35932e7cbb04b24f385d43402ec,No,No,12/7/2025,1765145644000.0
